Index	Sequence	PathDelay	LogicDelay	NetDelay	LUTsLogic	RegsFF	RegsLatch
177	&scorr;&sweep;;&if -W 300 -g -K 6;&syn2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.663	10.037(74%)	3.626(26%)	2032	605	9
178	&scorr;&sweep;;&if -W 300 -g -K 6;&syn2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.673	10.055(74%)	3.618(26%)	2027	605	9
179	&scorr;&sweep;;&dc2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.329	9.031(64%)	5.298(36%)	2031	605	9
180	&scorr;&sweep;;&if -W 300 -g -K 6;&syn2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.673	10.055(74%)	3.618(26%)	2055	605	9
181	&scorr;&sweep;;&if -W 300 -y -K 6;&syn2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.306	9.172(65%)	5.134(35%)	2016	605	9
182	&scorr;&sweep;;&if -W 300 -y -K 6;&syn2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.315	9.172(65%)	5.143(35%)	2053	605	9
183	&scorr;&sweep;;&if -W 300 -y -K 6;&syn2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.302	9.172(65%)	5.130(35%)	2058	605	9
184	&scorr;&sweep;;&dc2;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	2019	605	9
185	&scorr;&sweep;;&dc2;&syn3;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	2054	605	9
186	&scorr;&sweep;;&dc2;&syn3;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	2061	605	9
187	&scorr;&sweep;;&syn2;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.593	8.681(64%)	4.912(36%)	2000	605	9
188	&scorr;&sweep;;&syn2;&syn3;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.664	10.037(74%)	3.627(26%)	2022	605	9
189	&scorr;&sweep;;&syn2;&syn3;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.664	10.037(74%)	3.627(26%)	2043	605	9
190	&scorr;&sweep;;&syn2;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.306	9.172(65%)	5.134(35%)	2016	605	9
191	&scorr;&sweep;;&syn3;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.593	8.681(64%)	4.912(36%)	1989	605	9
192	&scorr;&sweep;;&syn3;&syn3;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.663	10.037(74%)	3.626(26%)	2037	605	9
193	&scorr;&sweep;;&syn3;&syn3;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.662	10.037(74%)	3.625(26%)	2060	605	9
194	&scorr;&sweep;;&syn4&b;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
195	&scorr;&sweep;;&syn4&b;&syn3;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
196	&scorr;&sweep;;&syn4&b;&syn3;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
197	&scorr;&sweep;;&b -d;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	1987	605	9
198	&scorr;&sweep;;&b -d;&syn3;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.672	10.037(74%)	3.635(26%)	2055	605	9
199	&scorr;&sweep;;&b -d;&syn3;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.673	10.037(74%)	3.636(26%)	2064	605	9
200	&scorr;&sweep;;&if -W 300 -x -K 6;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.663	10.037(74%)	3.626(26%)	2004	605	9
201	&scorr;&sweep;;&syn2;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.315	9.172(65%)	5.143(35%)	2053	605	9
202	&scorr;&sweep;;&if -W 300 -x -K 6;&syn3;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.663	10.037(74%)	3.626(26%)	2041	605	9
203	&scorr;&sweep;;&if -W 300 -x -K 6;&syn3;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.663	10.037(74%)	3.626(26%)	2047	605	9
204	&scorr;&sweep;;&if -W 300 -g -K 6;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.322	9.172(65%)	5.150(35%)	2003	605	9
205	&scorr;&sweep;;&if -W 300 -g -K 6;&syn3;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.307	9.172(65%)	5.135(35%)	2031	605	9
206	&scorr;&sweep;;&if -W 300 -g -K 6;&syn3;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.878	9.031(66%)	4.847(34%)	2029	605	9
207	&scorr;&sweep;;&if -W 300 -y -K 6;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.317	9.172(65%)	5.145(35%)	2021	605	9
208	&scorr;&sweep;;&if -W 300 -y -K 6;&syn3;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.309	9.172(65%)	5.137(35%)	2037	605	9
209	&scorr;&sweep;;&if -W 300 -y -K 6;&syn3;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.303	9.172(65%)	5.131(35%)	2080	605	9
210	&scorr;&sweep;;&dc2;&syn4&b;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
211	&scorr;&sweep;;&dc2;&syn4&b;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
212	&scorr;&sweep;;&syn2;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.302	9.172(65%)	5.130(35%)	2058	605	9
213	&scorr;&sweep;;&dc2;&syn4&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
214	&scorr;&sweep;;&syn2;&syn4&b;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
215	&scorr;&sweep;;&syn2;&syn4&b;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
216	&scorr;&sweep;;&syn2;&syn4&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
217	&scorr;&sweep;;&syn3;&syn4&b;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
218	&scorr;&sweep;;&syn3;&syn4&b;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
219	&scorr;&sweep;;&syn3;&syn4&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
220	&scorr;&sweep;;&syn4&b;&syn4&b;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
221	&scorr;&sweep;;&syn4&b;&syn4&b;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
222	&scorr;&sweep;;&syn4&b;&syn4&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
223	&scorr;&sweep;;&syn2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	1986	605	9
224	&scorr;&sweep;;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.317	9.172(65%)	5.145(35%)	2021	605	9
225	&scorr;&sweep;;&b -d;&syn4&b;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
226	&scorr;&sweep;;&b -d;&syn4&b;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
227	&scorr;&sweep;;&b -d;&syn4&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
228	&scorr;&sweep;;&if -W 300 -x -K 6;&syn4&b;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
229	&scorr;&sweep;;&if -W 300 -x -K 6;&syn4&b;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
230	&scorr;&sweep;;&if -W 300 -x -K 6;&syn4&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
231	&scorr;&sweep;;&if -W 300 -g -K 6;&syn4&b;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
232	&scorr;&sweep;;&if -W 300 -g -K 6;&syn4&b;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
233	&scorr;&sweep;;&if -W 300 -g -K 6;&syn4&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
234	&scorr;&sweep;;&if -W 300 -y -K 6;&syn4&b;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
235	&scorr;&sweep;;&syn3;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.309	9.172(65%)	5.137(35%)	2037	605	9
236	&scorr;&sweep;;&if -W 300 -y -K 6;&syn4&b;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
237	&scorr;&sweep;;&if -W 300 -y -K 6;&syn4&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
238	&scorr;&sweep;;&dc2;&b -d;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.873	9.031(66%)	4.842(34%)	2027	605	9
239	&scorr;&sweep;;&dc2;&b -d;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.793	9.031(66%)	4.762(34%)	2016	605	9
240	&scorr;&sweep;;&dc2;&b -d;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.330	9.031(64%)	5.299(36%)	2025	605	9
241	&scorr;&sweep;;&syn2;&b -d;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.306	9.172(65%)	5.134(35%)	2017	605	9
242	&scorr;&sweep;;&syn2;&b -d;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.316	9.172(65%)	5.144(35%)	2055	605	9
243	&scorr;&sweep;;&syn2;&b -d;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.306	9.172(65%)	5.134(35%)	2066	605	9
244	&scorr;&sweep;;&syn3;&b -d;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.916	9.031(65%)	4.885(35%)	2018	605	9
245	&scorr;&sweep;;&syn3;&b -d;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.300	9.172(65%)	5.128(35%)	2027	605	9
246	&scorr;&sweep;;&syn3;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.303	9.172(65%)	5.131(35%)	2080	605	9
247	&scorr;&sweep;;&syn3;&b -d;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.314	9.172(65%)	5.142(35%)	2055	605	9
248	&scorr;&sweep;;&syn4&b;&b -d;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
249	&scorr;&sweep;;&syn4&b;&b -d;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
250	&scorr;&sweep;;&syn4&b;&b -d;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
251	&scorr;&sweep;;&b -d;&b -d;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.960	9.031(65%)	4.929(35%)	2027	605	9
252	&scorr;&sweep;;&b -d;&b -d;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.331	9.172(64%)	5.159(36%)	2052	605	9
253	&scorr;&sweep;;&b -d;&b -d;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.328	9.172(65%)	5.156(35%)	2055	605	9
254	&scorr;&sweep;;&if -W 300 -x -K 6;&b -d;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.952	9.031(65%)	4.921(35%)	2001	605	9
255	&scorr;&sweep;;&if -W 300 -x -K 6;&b -d;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.317	9.172(65%)	5.145(35%)	2003	605	9
256	&scorr;&sweep;;&if -W 300 -x -K 6;&b -d;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.315	9.172(65%)	5.143(35%)	2018	605	9
257	&scorr;&sweep;;&syn4&b;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
258	&scorr;&sweep;;&if -W 300 -g -K 6;&b -d;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.945	9.031(65%)	4.914(35%)	2016	605	9
259	&scorr;&sweep;;&if -W 300 -g -K 6;&b -d;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.320	9.172(65%)	5.148(35%)	1989	605	9
260	&scorr;&sweep;;&if -W 300 -g -K 6;&b -d;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.333	9.172(64%)	5.161(36%)	2033	605	9
261	&scorr;&sweep;;&if -W 300 -y -K 6;&b -d;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.960	9.031(65%)	4.929(35%)	2020	605	9
262	&scorr;&sweep;;&if -W 300 -y -K 6;&b -d;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.330	9.172(65%)	5.158(35%)	2042	605	9
263	&scorr;&sweep;;&if -W 300 -y -K 6;&b -d;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.325	9.172(65%)	5.153(35%)	2038	605	9
264	&scorr;&sweep;;&dc2;&if -W 300 -x -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.816	9.031(66%)	4.785(34%)	2010	605	9
265	&scorr;&sweep;;&dc2;&if -W 300 -x -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.810	9.031(66%)	4.779(34%)	2029	605	9
266	&scorr;&sweep;;&dc2;&if -W 300 -x -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.881	9.031(66%)	4.850(34%)	2034	605	9
267	&scorr;&sweep;;&syn2;&if -W 300 -x -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.307	9.172(65%)	5.135(35%)	2001	605	9
268	&scorr;&sweep;;&syn4&b;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
269	&scorr;&sweep;;&syn2;&if -W 300 -x -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.303	9.172(65%)	5.131(35%)	1977	605	9
270	&scorr;&sweep;;&syn2;&if -W 300 -x -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.875	9.031(66%)	4.844(34%)	2006	605	9
271	&scorr;&sweep;;&syn3;&if -W 300 -x -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.673	10.037(74%)	3.636(26%)	2002	605	9
272	&scorr;&sweep;;&syn3;&if -W 300 -x -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.317	9.172(65%)	5.145(35%)	1992	605	9
273	&scorr;&sweep;;&syn3;&if -W 300 -x -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.317	9.172(65%)	5.145(35%)	2002	605	9
274	&scorr;&sweep;;&syn4&b;&if -W 300 -x -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
275	&scorr;&sweep;;&syn4&b;&if -W 300 -x -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
276	&scorr;&sweep;;&syn4&b;&if -W 300 -x -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
277	&scorr;&sweep;;&b -d;&if -W 300 -x -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.315	9.172(65%)	5.143(35%)	2023	605	9
278	&scorr;&sweep;;&b -d;&if -W 300 -x -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.798	9.031(66%)	4.767(34%)	2039	605	9
279	&scorr;&sweep;;&syn4&b;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
280	&scorr;&sweep;;&b -d;&if -W 300 -x -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	13.894	9.031(65%)	4.863(35%)	2041	605	9
281	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.328	9.172(65%)	5.156(35%)	2000	605	9
282	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.324	9.172(65%)	5.152(35%)	1997	605	9
283	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.319	9.172(65%)	5.147(35%)	2014	605	9
284	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.328	9.172(65%)	5.156(35%)	2003	605	9
285	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.816	9.031(66%)	4.785(34%)	1996	605	9
286	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.306	9.172(65%)	5.134(35%)	2026	605	9
287	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.895	9.031(65%)	4.864(35%)	2000	605	9
288	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.320	9.172(65%)	5.148(35%)	2003	605	9
289	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.323	9.172(65%)	5.151(35%)	2034	605	9
290	&scorr;&sweep;;&b -d;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.960	9.031(65%)	4.929(35%)	2020	605	9
291	&scorr;&sweep;;&dc2;&if -W 300 -g -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.877	9.031(66%)	4.846(34%)	2040	605	9
292	&scorr;&sweep;;&dc2;&if -W 300 -g -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.798	9.031(66%)	4.767(34%)	2025	605	9
293	&scorr;&sweep;;&dc2;&if -W 300 -g -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.336	9.031(63%)	5.305(37%)	2035	605	9
294	&scorr;&sweep;;&syn2;&if -W 300 -g -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.871	9.031(66%)	4.840(34%)	2007	605	9
295	&scorr;&sweep;;&syn2;&if -W 300 -g -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.312	9.172(65%)	5.140(35%)	2042	605	9
296	&scorr;&sweep;;&syn2;&if -W 300 -g -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.317	9.172(65%)	5.145(35%)	2053	605	9
297	&scorr;&sweep;;&syn3;&if -W 300 -g -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.663	10.037(74%)	3.626(26%)	2021	605	9
298	&scorr;&sweep;;&syn3;&if -W 300 -g -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.333	9.172(64%)	5.161(36%)	2039	605	9
299	&scorr;&sweep;;&syn3;&if -W 300 -g -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.330	9.048(64%)	5.282(36%)	2062	605	9
300	&scorr;&sweep;;&syn4&b;&if -W 300 -g -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
301	&scorr;&sweep;;&b -d;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.330	9.172(65%)	5.158(35%)	2042	605	9
302	&scorr;&sweep;;&syn4&b;&if -W 300 -g -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
303	&scorr;&sweep;;&syn4&b;&if -W 300 -g -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
304	&scorr;&sweep;;&b -d;&if -W 300 -g -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.943	9.031(65%)	4.912(35%)	2005	605	9
305	&scorr;&sweep;;&b -d;&if -W 300 -g -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.323	9.172(65%)	5.151(35%)	1982	605	9
306	&scorr;&sweep;;&b -d;&if -W 300 -g -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.322	9.172(65%)	5.150(35%)	2003	605	9
307	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.945	9.031(65%)	4.914(35%)	2018	605	9
308	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.325	9.172(65%)	5.153(35%)	2000	605	9
309	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.327	9.172(65%)	5.155(35%)	2030	605	9
310	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.960	9.031(65%)	4.929(35%)	2007	605	9
311	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.724	9.172(63%)	5.552(37%)	2022	605	9
312	&scorr;&sweep;;&b -d;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.325	9.172(65%)	5.153(35%)	2038	605	9
313	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.719	9.172(63%)	5.547(37%)	2034	605	9
314	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.943	9.031(65%)	4.912(35%)	2008	605	9
315	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.027	8.907(64%)	5.120(36%)	2015	605	9
316	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.027	8.907(64%)	5.120(36%)	2029	605	9
317	&scorr;&sweep;;&dc2;&if -W 300 -y -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.873	9.031(66%)	4.842(34%)	2006	605	9
318	&scorr;&sweep;;&dc2;&if -W 300 -y -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	13.795	9.031(66%)	4.764(34%)	2027	605	9
319	&scorr;&sweep;;&dc2;&if -W 300 -y -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.329	9.031(64%)	5.298(36%)	2031	605	9
320	&scorr;&sweep;;&syn2;&if -W 300 -y -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.306	9.172(65%)	5.134(35%)	2016	605	9
321	&scorr;&sweep;;&syn2;&if -W 300 -y -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.315	9.172(65%)	5.143(35%)	2053	605	9
322	&scorr;&sweep;;&syn2;&if -W 300 -y -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.302	9.172(65%)	5.130(35%)	2058	605	9
323	&scorr;&sweep;;&if -W 300 -x -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.895	9.031(65%)	4.864(35%)	2000	605	9
324	&scorr;&sweep;;&syn3;&if -W 300 -y -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	14.317	9.172(65%)	5.145(35%)	2021	605	9
325	&scorr;&sweep;;&syn3;&if -W 300 -y -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.309	9.172(65%)	5.137(35%)	2037	605	9
326	&scorr;&sweep;;&syn3;&if -W 300 -y -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.303	9.172(65%)	5.131(35%)	2080	605	9
327	&scorr;&sweep;;&syn4&b;&if -W 300 -y -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;						
328	&scorr;&sweep;;&syn4&b;&if -W 300 -y -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;						
329	&scorr;&sweep;;&syn4&b;&if -W 300 -y -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;						
330	&scorr;&sweep;;&b -d;&if -W 300 -y -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.960	9.031(65%)	4.929(35%)	2020	605	9
331	&scorr;&sweep;;&b -d;&if -W 300 -y -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.330	9.172(65%)	5.158(35%)	2042	605	9
332	&scorr;&sweep;;&b -d;&if -W 300 -y -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.325	9.172(65%)	5.153(35%)	2038	605	9
333	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.895	9.031(65%)	4.864(35%)	2000	605	9
334	&scorr;&sweep;;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	13.883	9.031(66%)	4.852(34%)	2016	605	9
335	&scorr;&sweep;;&if -W 300 -x -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.320	9.172(65%)	5.148(35%)	2003	605	9
336	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.320	9.172(65%)	5.148(35%)	2003	605	9
337	&scorr;&sweep;;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.323	9.172(65%)	5.151(35%)	2034	605	9
338	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.943	9.031(65%)	4.912(35%)	2008	605	9
339	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.027	8.907(64%)	5.120(36%)	2015	605	9
340	&scorr;&sweep;;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.027	8.907(64%)	5.120(36%)	2029	605	9
341	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.865	9.031(66%)	4.834(34%)	2002	605	9
342	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	14.345	9.172(64%)	5.173(36%)	1999	605	9
343	&scorr;&sweep;;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.799	9.172(62%)	5.627(38%)	2014	605	9
344	&scorr;&sweep;;&dc2;&dc2;&syn2;&synch2;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	1996	605	9
345	&scorr;&sweep;;&dc2;&dc2;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	13.671	10.037(74%)	3.634(26%)	2048	605	9
346	&scorr;&sweep;;&if -W 300 -x -K 6;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	14.323	9.172(65%)	5.151(35%)	2034	605	9
